day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-2,0,AMETHYSTS,10002,1,9996,2,9995,29,10004,2,10005,29,,,10003.0,0.0
-2,100,AMETHYSTS,9996,2,9995,22,,,10004,2,10005,22,,,10000.0,0.0
-2,200,AMETHYSTS,9995,20,,,,,10005,20,,,,,10000.0,0.0
-2,300,AMETHYSTS,9996,2,9995,29,,,10004,2,10005,29,,,10000.0,0.0
-2,400,AMETHYSTS,9996,2,9995,25,,,10004,2,10005,25,,,10000.0,0.0
-2,500,AMETHYSTS,9995,30,,,,,10002,4,10005,30,,,9998.5,0.0
-2,600,AMETHYSTS,10000,5,9995,25,,,10005,25,,,,,10002.5,0.0
-2,700,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0
-2,800,AMETHYSTS,9996,1,9995,29,,,10004,1,10005,29,,,10000.0,0.0
-2,900,AMETHYSTS,9996,1,9995,22,,,10004,1,10005,22,,,10000.0,0.0
-2,1000,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0
-2,1100,AMETHYSTS,9996,2,9995,24,,,10004,2,10005,24,,,10000.0,0.0
-2,1200,AMETHYSTS,9995,21,,,,,9998,1,10005,21,,,9996.5,0.0
-2,1300,AMETHYSTS,10002,1,9996,1,9995,30,10004,1,10005,30,,,10003.0,0.0
-2,1400,AMETHYSTS,9996,1,9995,25,,,10004,1,10005,25,,,10000.0,0.0
-2,1500,AMETHYSTS,9995,27,,,,,10005,27,,,,,10000.0,0.0
-2,1600,AMETHYSTS,9995,29,,,,,10005,29,,,,,10000.0,0.0
-2,1700,AMETHYSTS,9996,2,9995,20,,,10002,1,10004,2,10005,20,9999.0,0.0
-2,1800,AMETHYSTS,10002,1,9996,1,9995,22,10004,1,10005,22,,,10003.0,0.0
-2,1900,AMETHYSTS,9996,1,9995,28,,,10004,1,10005,28,,,10000.0,0.0
-2,2000,AMETHYSTS,9996,2,9995,24,,,9998,1,10004,2,10005,24,9997.0,0.0
-2,2100,AMETHYSTS,9996,2,9995,25,,,10002,3,10004,2,10005,25,9999.0,0.0
-2,2200,AMETHYSTS,9998,8,9996,1,9995,24,10004,1,10005,24,,,10001.0,0.0
-2,2300,AMETHYSTS,9998,7,9996,2,9995,30,10004,2,10005,30,,,10001.0,0.0
-2,2400,AMETHYSTS,9995,29,,,,,10005,29,,,,,10000.0,0.0
-2,2500,AMETHYSTS,9996,1,9995,22,,,10004,1,10005,22,,,10000.0,0.0
-2,2600,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0
-2,2700,AMETHYSTS,9998,6,9995,26,,,10005,26,,,,,10001.5,0.0
-2,2800,AMETHYSTS,9995,25,,,,,10005,25,,,,,10000.0,0.0
-2,2900,AMETHYSTS,9996,1,9995,25,,,10004,1,10005,25,,,10000.0,0.0
-2,3000,AMETHYSTS,9998,1,9995,26,,,10005,26,,,,,10001.5,0.0
-2,3100,AMETHYSTS,9996,2,9995,24,,,10004,2,10005,24,,,10000.0,0.0
-2,3200,AMETHYSTS,9996,1,9995,22,,,10004,1,10005,22,,,10000.0,0.0
-2,3300,AMETHYSTS,9996,2,9995,30,,,10004,2,10005,30,,,10000.0,0.0
-2,3400,AMETHYSTS,9996,2,9995,24,,,10004,2,10005,24,,,10000.0,0.0
-2,3500,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0
-2,3600,AMETHYSTS,9995,21,,,,,9998,4,10005,21,,,9996.5,0.0
-2,3700,AMETHYSTS,10002,1,9996,1,9995,23,10004,1,10005,23,,,10003.0,0.0
-2,3800,AMETHYSTS,9996,2,9995,23,,,10002,10,10004,2,10005,23,9999.0,0.0
-2,3900,AMETHYSTS,9998,1,9996,1,9995,25,10004,1,10005,25,,,10001.0,0.0
-2,4000,AMETHYSTS,9996,2,9995,30,,,10004,2,10005,30,,,10000.0,0.0
-2,4100,AMETHYSTS,9996,2,9995,27,,,10004,2,10005,27,,,10000.0,0.0
-2,4200,AMETHYSTS,9996,2,9995,24,,,10002,4,10004,2,10005,24,9999.0,0.0
-2,4300,AMETHYSTS,9995,22,,,,,9998,1,10000,6,10005,22,9996.5,0.0
-2,4400,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,0.0
-2,4500,AMETHYSTS,9996,1,9995,28,,,10002,10,10004,1,10005,28,9999.0,0.0
